ID,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
632,  4 48 11.530652 ,  -56 49  2.21735 , +   10.01 , -    4.20 ,    2.3 ,  7.47  
633,  4 48 22.743688 ,  +29 46 22.81349 , +    6.09 , -   25.57 ,    5.1 ,  7.41  
634,  4 48 31.632143 ,  -49 47 33.90778 , -   15.62 , -   12.87 ,    5.7 ,  7.35  
635,  4 48 33.786394 ,  -43 58 47.93035 , +   11.52 , +   24.36 ,    4.5 ,  6.72  
636,  4 48 35.679170 ,  +24 44 35.21556 , +   38.15 , -   30.47 ,    7.3 ,  8.25  
637,  4 48 43.859532 ,  +21 18 56.77177 , -    5.88 , -   15.64 ,    6.2 ,  7.03  
638,  4 48 52.738124 ,  -64 23 17.12440 , +    8.20 , +   23.07 ,    2.6 ,  8.56  
639,  4 48 57.817365 ,  -67 42 50.44347 , -   21.42 , -   25.06 ,    9.3 ,  7.64  
640,  4 49  2.570761 ,  -88 16 16.15655 , +    7.70 , +   10.39 ,    2.7 ,  7.17  
641,  4 49 12.846777 ,  +31 26 14.54518 , +   17.21 , -  103.39 ,   13.9 ,  5.57  
642,  4 49 42.244230 ,  -13 46 10.80582 , -  120.43 , -  172.12 ,   28.2 ,  6.27  
643,  4 50 12.537578 ,  +72 55  3.19573 , -    0.85 , -    2.56 ,    1.1 ,  8.62  
644,  4 50 39.231643 ,  +50 24 32.58202 , -    4.42 , -    1.62 ,    4.5 ,  7.65  
645,  4 51  9.326980 ,  +48 44 26.45350 , -   41.66 , -   31.49 ,   10.1 ,  5.64  
646,  4 51 29.443098 ,  +35 48 54.50323 , +   20.80 , -  117.81 ,   30.5 ,  6.78  
647,  4 52  2.007326 ,  -46 51  8.77759 , -    2.46 , -   12.02 ,    2.9 ,  7.13  
648,  4 52  5.219212 ,  +63 30 19.51507 , +   38.04 , -   94.27 ,    6.5 ,  5.47  
649,  4 52 27.854509 ,  +31 59 11.40549 , -    8.63 , +    0.70 ,    6.2 ,  7.54  
650,  4 52 47.116637 ,  +27 53 50.95087 , +   44.14 , -   35.37 ,    9.2 ,  5.97  
651,  4 53 30.495565 ,  -66 40 31.48573 , +    4.05 , +   10.71 ,    2.8 ,  6.43  
652,  4 53 32.176953 ,  -17 49 37.62312 , -    1.52 , -    7.19 ,    4.7 ,  9.05  
653,  4 53 39.740427 ,  +61 28 54.19427 , +   24.49 , -   44.15 ,    6.2 ,  6.64  
654,  4 54  4.208997 ,  -35 24 16.25981 , +  125.86 , +  158.00 ,   38.5 ,  7.60  
655,  4 54 47.781403 ,  + 7 46 44.75039 , -   21.22 , -   27.13 ,    7.3 ,  5.33  
656,  4 54 54.813471 ,  -39 37 42.98243 , -    6.18 , +   22.72 ,    3.2 ,  6.11  
657,  4 56 58.740483 ,  - 8 27 31.97508 , +   19.13 , +    2.50 ,    6.3 ,  6.89  
658,  4 57 17.190916 ,  - 1  4  2.12997 , -   36.61 , -   27.34 ,   11.9 ,  6.25  
659,  4 57 48.381571 ,  - 4 39 17.83902 , +   15.06 , -   21.56 ,    7.5 ,  7.67  
660,  4 58 14.103769 ,  + 4  8  2.13833 , -    0.54 , -    5.14 ,    3.2 ,  9.26  
661,  5  0 15.060495 ,  - 0 11 37.61930 , +   19.77 , -    1.79 ,    7.8 ,  8.08  
662,  5  0 20.721701 ,  +81 11 38.71857 , +    1.25 , +   27.74 ,    9.4 ,  5.09  
663,  5  0 39.478548 ,  -70 37 26.34617 , -    7.68 , +   30.68 ,    9.3 ,  7.59  
664,  5  0 41.773096 ,  +12 36 14.03694 , +   13.12 , -   19.31 ,    4.8 ,  8.26  
665,  5  0 56.509490 ,  -42  0 10.91157 , -    1.65 , +    0.48 ,    2.3 ,  7.75  
666,  5  1 34.909745 ,  -58 31 15.02956 , +    7.14 , -   35.46 ,    1.2 ,  8.54  
667,  5  1 42.402633 ,  +84 52 21.24854 , -    2.10 , +    3.22 ,    3.0 ,  7.71  
668,  5  1 50.352842 ,  + 0 43 19.60419 , +    4.53 , -   22.54 ,    6.5 ,  5.91  
669,  5  1 54.399080 ,  -36 58 42.84434 , +   17.38 , -   55.48 ,    4.9 ,  7.61  
670,  5  2  9.821941 ,  -26 16 30.10713 , +   85.98 , -   76.75 ,   13.4 ,  5.01  
671,  5  2 14.741551 ,  +31 15 49.28758 , +    8.45 , -    6.47 ,    7.0 ,  8.91  
672,  5  2 29.868278 ,  +65 34  6.53810 , -    7.73 , -   16.60 ,    2.3 ,  7.91  
673,  5  2 42.998371 ,  -71 18 51.48417 , -    3.58 , +   10.25 ,    5.0 ,  5.30  
674,  5  3 22.085429 ,  -19 30  1.64883 , -    2.92 , -    3.36 ,    1.5 ,  8.61  
675,  5  4  3.024458 ,  +47 39 53.42395 , -    5.94 , -   10.82 ,    3.9 ,  7.13  
676,  5  4 54.525816 ,  - 3  2 22.83582 , +    0.19 , -    1.73 ,    3.7 ,  6.04  
677,  5  5   .605690 ,  -54 24 26.63842 , -    0.25 , +    7.08 ,    4.6 ,  6.26  
678,  5  6  9.295188 ,  -73  2 15.62312 , +   17.54 , +   62.14 ,    7.7 ,  6.26  
679,  5  7  2.241986 ,  +51 42 22.47992 , -    2.39 , -    7.14 ,    2.5 ,  8.00  
680,  5  7 34.027847 ,  -63 23 58.85011 , +   12.83 , -   45.42 ,    5.2 ,  5.19  
681,  5  8  1.012042 ,  -26 47 50.88732 , +   55.94 , -   45.23 ,   11.5 ,  8.05  
682,  5  9 25.241447 ,  -23  7  7.16203 , -    4.26 , -    8.32 ,    2.7 ,  7.24  
683,  5  9 36.718858 ,  +69 38 21.84528 , +   60.15 , -   63.45 ,    8.5 ,  6.43  
684,  5  9 44.507026 ,  +64 55 10.16631 , -   16.57 , -  182.19 ,   25.2 ,  6.37  
685,  5 10 39.946833 ,  +17 26 24.85302 , -    0.51 , -    6.92 ,    2.0 ,  7.90  
686,  5 10 47.560323 ,  - 5 10 11.11180 , +    1.00 , -    1.50 ,    2.0 ,  8.43  
687,  5 11 19.176780 ,  - 2 29 26.81572 , +   81.46 , +    1.55 ,   26.0 ,  5.89  
688,  5 11 30.063818 ,  -30 13 31.83972 , +   17.04 , +    6.45 ,    8.4 ,  7.06  
689,  5 11 34.014174 ,  +35 57 26.47768 , -   13.72 , +   11.12 ,    5.4 ,  7.08  
690,  5 11 41.563814 ,  +16  2 44.42839 , +    3.89 , +    6.92 ,   10.1 ,  5.18  
691,  5 12 25.758385 ,  -81 32 30.23645 , +   16.30 , +   49.90 ,    5.2 ,  6.51  
692,  5 13  8.074515 ,  +44 34  1.15552 , -    0.14 , -    2.22 ,    1.8 ,  7.34  
693,  5 13 43.508575 ,  -52 58 31.68106 , -    4.08 , +    2.89 ,    3.9 ,  7.52  
694,  5 14 44.271640 ,  +53 12 50.21380 , -    1.82 , +    0.05 ,    1.9 ,  6.16  
695,  5 16  4.134089 ,  +11 20 28.87284 , -    8.62 , -    6.57 ,    8.8 ,  5.52  
696,  5 17 32.228373 ,  + 5 28 56.35557 , +   18.24 , -    6.88 ,    6.5 ,  7.14  
697,  5 18   .982739 ,  - 0  2 15.69312 , +    0.64 , +    0.23 ,    3.9 ,  7.39  
698,  5 18  4.081051 ,  +13 25  3.86178 , -   14.46 , -   13.25 ,    5.5 ,  7.74  
699,  5 19 16.598946 ,  +22  5 47.37058 , +   14.57 , -   81.89 ,   15.8 ,  4.96  
700,  5 19 40.948492 ,  -11  2  5.77484 , -    0.61 , -    3.73 ,    2.4 ,  7.67  
701,  5 20   .921075 ,  +33 57 28.99733 , +    0.04 , -    3.24 ,    1.0 ,  5.05  
702,  5 20 22.610475 ,  +62 39 13.35899 , -    3.22 , -    2.40 ,     .7 ,  5.64  
703,  5 20 24.474823 ,  +10 53 25.37469 , -    4.53 , -   25.52 ,    5.2 ,  7.42  
704,  5 20 44.503505 ,  -29 12 21.86929 , +    1.13 , +   13.53 ,    6.3 ,  7.41  
705,  5 20 54.738396 ,  +40 53  5.47448 , -    5.63 , -    4.36 ,    5.3 ,  7.29  
706,  5 20 58.870169 ,  -64  4 30.03122 , +    2.72 , +   27.25 ,    3.4 ,  7.86  
707,  5 21 13.138941 ,  -75 55  2.54089 , -    9.33 , -   13.49 ,    3.7 ,  7.90  
708,  5 21 17.339752 ,  +54 15  9.16679 , -    7.88 , +   26.45 ,    7.0 ,  6.63  
709,  5 21 43.561102 ,  + 8 25 42.80424 , -    0.81 , -    2.77 ,    4.4 ,  5.78  
710,  5 21 58.417504 ,  -38 29 18.91349 , -    5.58 , +   26.57 ,    3.7 ,  8.00  
711,  5 22 22.146534 ,  -56  8  3.84245 , -    5.12 , +   21.80 ,    4.3 ,  6.10  
712,  5 22 32.304771 ,  -73 48  5.15762 , -   14.28 , +   13.73 ,    2.8 ,  6.86  
713,  5 22 48.933894 ,  -59 38  4.78537 , -   35.87 , +    6.18 ,    6.3 ,  8.24  
714,  5 23 11.995759 ,  -26 42 19.56173 , +   23.54 , +   22.76 ,   19.0 ,  6.49  
715,  5 23 24.024887 ,  -39 40 42.31920 , +   26.82 , +    5.61 ,    5.8 ,  5.73  
716,  5 23 26.766314 ,  -49 22 29.78470 , +    8.93 , -    2.03 ,    3.2 ,  7.85  
717,  5 23 27.842451 ,  +57 32 39.82558 , +   14.67 , -   55.69 ,    9.5 ,  5.24  
718,  5 24 44.827031 ,  + 1 50 47.20122 , +    0.92 , -    0.53 ,    2.6 ,  4.89  
719,  5 24 55.577357 ,  -44 13 32.46447 , -    1.93 , +    8.34 ,    6.1 ,  6.09  
720,  5 25  1.256947 ,  +61 49 32.26994 , +   15.61 , -   24.90 ,    4.0 ,  7.97  
721,  5 25 19.101404 ,  -34 50 50.76080 , -    2.00 , +    9.71 ,    3.7 ,  7.31  
722,  5 26 19.267469 ,  -58 54 45.07116 , -    8.40 , +   32.48 ,    6.9 ,  5.14  
723,  5 26 47.004640 ,  +70 13 41.48311 , +    6.48 , -   29.10 ,    3.8 ,  7.16  
724,  5 26 48.105982 ,  + 2  4  5.85266 , -    0.69 , -    0.42 ,    5.2 ,  8.51  
725,  5 26 54.317470 ,  +35 27 26.17985 , -   14.70 , -   12.10 ,    5.0 ,  6.17  
726,  5 27  4.763482 ,  -11 54  3.47080 , +   17.73 , -   49.49 ,   37.2 ,  6.30  
727,  5 27 44.631286 ,  -25 38 12.52987 , -    3.06 , +    1.75 ,    5.1 ,  7.49  
728,  5 28 33.224929 ,  - 4 41 49.30262 , -    7.44 , -    5.82 ,    3.9 ,  7.48  
729,  5 29 25.689211 ,  +77 58 39.04025 , +   12.59 , -   14.32 ,    4.5 ,  6.53  
730,  5 30 48.651439 ,  +41 27 43.17307 , +    2.37 , -   35.14 ,    8.4 ,  5.99  
731,  5 31 56.213680 ,  +81  3 24.48033 , -    0.70 , +    2.37 ,    3.0 ,  7.62  
732,  5 33 54.283856 ,  +14 18 20.07895 , -    2.22 , -    6.00 ,    6.3 ,  5.60  
733,  5 34 29.574255 ,  - 8 12 26.17480 , -    0.21 , -   20.90 ,    4.3 ,  7.78  
734,  5 34 44.782856 ,  -73 44 28.59990 , +    0.21 , +   36.65 ,    3.1 ,  5.79  
735,  5 35 27.128860 ,  +24  2 22.51988 , +   13.05 , -   20.17 ,    5.4 ,  5.37  
736,  5 35 35.370874 ,  +35  3 34.38450 , +    1.61 , -    2.22 ,     .9 ,  8.80  
737,  5 35 39.416715 ,  -81 36 42.73178 , -   30.41 , +   30.08 ,   20.1 ,  7.12  
738,  5 35 56.201901 ,  -30 32 10.76234 , -    1.36 , -   13.84 ,    2.1 ,  7.62  
739,  5 36 15.959855 ,  +47 42 55.04034 , +   14.72 , -   20.09 ,    9.7 ,  6.10  
740,  5 36 35.217461 ,  +54 25 43.17024 , -    7.34 , -   10.64 ,    4.3 ,  5.74  
741,  5 36 53.230221 ,  +38 20 32.15911 , -   34.04 , -   23.29 ,    2.8 ,  7.65  
742,  5 37  4.382185 ,  +11  2  6.01238 , +   51.69 , -   16.66 ,    3.9 ,  5.97  
743,  5 37  8.772592 ,  -11 46 31.85606 , +   20.82 , -   22.70 ,   15.1 ,  6.10  
744,  5 37 21.747832 ,  +31 19 52.50894 , +   23.35 , -   51.77 ,    9.9 ,  8.25  
745,  5 38 15.294659 ,  - 4  6 29.64340 , +   17.00 , -   19.14 ,   10.0 ,  6.86  
746,  5 38 16.136307 ,  -14 20 28.76893 , +   12.87 , -   34.42 ,   12.1 ,  8.31  
747,  5 39 11.146323 ,  + 4  7 17.27642 , +    0.73 , -    0.43 ,    3.6 ,  4.50  
748,  5 39 51.494246 ,  +24 13 31.68389 , -    2.41 , +   41.10 ,   18.6 ,  7.12  
749,  5 40 11.723363 ,  +10 15  9.67873 , -    7.13 , -   28.52 ,   10.5 ,  7.92  
750,  5 40 35.907238 ,  +31 21 29.50900 , -    4.98 , -    9.02 ,    6.4 ,  6.04  
751,  5 41 22.601700 ,  +17 31 19.82543 , -    2.74 , -    7.08 ,     .7 ,  6.97  
752,  5 41 38.949386 ,  -56 26 16.98286 , +   35.19 , +   22.43 ,    4.7 ,  7.78  
753,  5 41 39.625544 ,  -44 55 36.41793 , +    1.13 , -    2.81 ,    1.7 ,  8.04  
754,  5 41 42.776390 ,  -67 24  9.94233 , +    3.62 , +    8.30 ,    3.7 ,  7.04  
755,  5 42  2.608416 ,  +27 46 14.52825 , -    0.57 , -    0.54 ,    -.2 ,  8.26  
756,  5 42 11.579803 ,  -30 32  7.60100 , -    4.72 , +    7.12 ,    5.7 ,  6.18  
757,  5 42 26.447916 ,  +65 41 51.53656 , -    0.28 , -   21.54 ,   11.7 ,  5.62  
758,  5 42 28.630916 ,  + 1 28 28.66497 , -   57.36 , -   14.75 ,   10.8 ,  4.90  
759,  5 42 32.915915 ,  - 0  0 57.97041 , +    1.60 , -   17.39 ,    3.1 ,  6.85  
760,  5 42 58.707165 ,  -84 54  3.63194 , -    2.21 , +    0.80 ,    5.1 ,  7.93  
761,  5 43  1.115098 ,  -11 49 27.55958 , +   21.64 , +   24.09 ,    5.8 ,  8.72  
762,  5 43 14.515401 ,  -33 25 29.91151 , -    1.43 , +    4.00 ,    1.8 ,  6.83  
763,  5 43 30.185745 ,  -39 24 24.87032 , +   48.47 , +    3.69 ,   18.7 ,  6.25  
764,  5 43 37.458550 ,  -68  4 52.64622 , -   12.04 , +   38.07 ,    4.6 ,  7.49  
765,  5 43 48.881228 ,  +85 40  6.07667 , -   10.50 , +   10.80 ,    6.9 ,  6.69  
766,  5 44 28.395250 ,  -20  7 35.66540 , -   17.54 , +   36.79 ,   39.1 ,  6.34  
767,  5 46  2.629898 ,  + 5  6  2.51492 , +    2.10 , -   18.59 ,    7.7 ,  8.60  
768,  5 46  3.226365 ,  +65 36 50.76649 , +   23.45 , -   34.17 ,    8.9 ,  8.89  
769,  5 47 14.685987 ,  +42 31 36.28788 , +    7.78 , -   87.28 ,    4.5 ,  6.30  
770,  5 47 48.133680 ,  -72 42  8.10136 , -    6.82 , +   24.37 ,    8.4 ,  6.54  
771,  5 48 55.576717 ,  -46 18 56.20128 , +    2.20 , +   21.33 ,    7.3 ,  7.53  
772,  5 49  3.060113 ,  +54  1 57.04433 , -    3.31 , -    2.26 ,    2.5 ,  8.47  
773,  5 50 13.065062 ,  + 4 25 24.26121 , +    8.11 , -   38.31 ,    6.4 ,  5.96  
774,  5 50 16.785323 ,  -79 21 40.90509 , -    4.43 , +   65.99 ,   12.0 ,  5.46  
775,  5 51  2.436862 ,  +37 18 20.05887 , +   36.29 , -   45.16 ,    6.8 ,  4.72  
776,  5 51 21.983632 ,  - 7 31  4.81228 , +    0.44 , -    0.38 ,    2.9 ,  5.36  
777,  5 52  7.686867 ,  -25 56 35.65245 , +  196.69 , +   42.00 ,    6.9 ,  6.86  
778,  5 52 17.294591 ,  +71 17 21.91091 , +    0.01 , +    5.28 ,    3.6 ,  7.11  
779,  5 52 40.092278 ,  +33 55  2.86395 , +   17.12 , +    8.59 ,    1.8 ,  6.04  
780,  5 52 55.493870 ,  +68 28 17.55253 , +    3.85 , -   44.73 ,    7.8 ,  6.22  
781,  5 53 36.597497 ,  +36  7 49.84053 , -    3.52 , -    2.90 ,     .6 ,  7.38  
782,  5 53 58.375506 ,  +21 50 10.66774 , -    0.31 , -    2.88 ,    2.6 ,  8.68  
783,  5 54 28.728805 ,  + 8  3 15.63021 , +    5.23 , -    6.16 ,    4.0 ,  7.15  
784,  5 54 39.158885 ,  -26 39 36.99585 , -   19.88 , +   41.77 ,    9.5 ,  6.85  
785,  5 54 40.805873 ,  - 3 28 56.31809 , +   22.45 , +   28.84 ,   14.9 ,  8.12  
786,  5 54 41.118827 ,  -49 37 37.23039 , -    5.35 , +   14.32 ,    2.9 ,  6.11  
787,  5 54 52.484030 ,  -39 57 28.28474 , -   13.05 , +   21.66 ,    6.4 ,  5.55  
788,  5 55 56.600574 ,  +41 19 23.94537 , -   24.93 , -   24.66 ,    8.5 ,  6.64  
789,  5 56  7.892624 ,  +63 16 54.20715 , +    6.12 , -   40.94 ,    8.1 ,  7.73  
790,  5 56 20.943670 ,  -31 22 56.78324 , +    1.24 , +    6.20 ,    2.2 ,  5.52  
791,  5 56 49.450012 ,  +11 31 15.80655 , +  105.02 , -   56.93 ,   10.6 ,  5.89  
792,  5 57 35.019183 ,  +66  5 45.95912 , +   48.73 , -   11.97 ,    7.6 ,  6.24  
793,  5 58 54.786414 ,  +18 49 12.59669 , +    4.27 , -   18.30 ,    3.2 ,  7.06  
794,  5 59 29.923554 ,  + 2 28 34.17455 , +   15.01 , +   11.52 ,   14.8 ,  7.78  
795,  5 59 38.781439 ,  -35 21  9.33365 , -   27.08 , +   44.18 ,    4.1 ,  6.78  
796,  5 59 47.889274 ,  -39 14  7.44080 , +    4.78 , -   19.14 ,    2.4 ,  8.35  
797,  6  0  3.350572 ,  - 3  4 27.31948 , +    8.86 , -   73.50 ,    7.7 ,  4.53  
798,  6  0 24.281388 ,  +16 17 56.24330 , +    2.57 , -    9.20 ,    2.9 ,  6.54  
799,  6  0 35.736456 ,  -58  6  7.51793 , +    8.79 , +   26.95 ,    9.8 ,  6.97  
800,  6  1 13.097514 ,  -25 25  3.94320 , -   11.90 , -   20.41 ,    8.9 ,  6.04  
801,  6  1 39.223646 ,  -15 35 21.43453 , -    2.60 , -   14.13 ,    2.7 ,  6.66  
802,  6  1 43.058717 ,  +48 57 34.00302 , +    6.77 , -    9.81 ,    4.7 ,  5.98  
803,  6  2 16.310877 ,  +66 53 58.88348 , -    1.57 , -    9.89 ,    1.6 ,  7.03  
804,  6  2 48.242610 ,  -53 34 57.90245 , +    0.56 , +    8.29 ,    4.2 ,  7.08  
805,  6  3  4.316609 ,  +57  1  5.92646 , +    9.92 , -   46.08 ,    5.7 ,  6.50  
806,  6  3 40.022900 ,  +10  7 46.80055 , -    7.48 , -   16.03 ,    1.3 ,  8.81  
807,  6  4 16.231416 ,  +28 18  3.37244 , -    2.30 , -    1.36 ,    1.0 ,  8.09  
808,  6  5  9.345853 ,  +75 35  9.30648 , +   10.91 , -   10.25 ,    4.5 ,  6.28  
809,  6  5 23.885839 ,  -81 59 26.42708 , +    5.18 , +   24.77 ,    4.7 ,  8.29  
810,  6  5 41.361350 ,  -31 23 28.44970 , +    1.73 , +    6.91 ,    2.8 ,  8.75  
811,  6  6  9.323861 ,  -14 56  6.91479 , -   16.81 , +   13.24 ,   19.1 ,  4.67  
812,  6  6 48.659960 ,  +23 38 18.96706 , -    0.07 , -    1.88 ,    3.7 ,  6.67  
813,  6  6 51.891076 ,  -11 10 24.94012 , -    2.16 , +    0.86 ,    2.7 ,  6.66  
814,  6  6 56.255893 ,  - 3 20 28.22376 , -    7.00 , +    3.21 ,    1.3 ,  6.92  
815,  6  7  3.389063 ,  -62  9 16.49000 , +   21.02 , -   69.65 ,    8.2 ,  5.04  
816,  6  7 31.632772 ,  -37 15 10.51507 , +    0.90 , +    0.12 ,    4.2 ,  5.00  
817,  6  8  1.078337 ,  -82  2 37.24083 , -    8.54 , +   29.59 ,    6.7 ,  7.20  
818,  6  8 46.972143 ,  +82 27 30.37867 , -    3.70 , -    6.40 ,    1.3 ,  8.27  
819,  6  9  2.105936 ,  -65  5 11.00450 , +    9.44 , +    9.73 ,    3.3 ,  8.37  
820,  6  9 15.193427 ,  -13 13 14.86501 , -    4.25 , -    3.44 ,    8.8 ,  7.39  
821,  6 10 26.489280 ,  -77  6 20.11795 , -    9.21 , +   18.32 ,    4.1 ,  6.83  
822,  6 10 39.927960 ,  -45 16 55.15865 , -    1.00 , +    7.53 ,    4.9 ,  6.28  
823,  6 10 52.890101 ,  -61 29 59.31665 , +   14.53 , +   34.26 ,   13.3 ,  7.45  
824,  6 11 14.982041 ,  -65 35 21.90008 , -   23.39 , +  118.65 ,    4.8 ,  5.01  
825,  6 11 15.396729 ,  -44 54 51.59555 , -    4.25 , +    0.02 ,    2.7 ,  7.22  
826,  6 12 17.149874 ,  +45  2 51.88563 , +   19.49 , -   12.80 ,    3.5 ,  8.34  
827,  6 12 20.124123 ,  +32 41 36.17023 , -    8.46 , -    3.60 ,    2.3 ,  5.78  
828,  6 12 54.086988 ,  +13  8 40.62729 , -   18.62 , +    4.25 ,    8.7 ,  9.13  
829,  6 13 44.659458 ,  -18 45 26.75282 , +    2.83 , +    1.26 ,    2.4 ,  9.08  
830,  6 14 54.766761 ,  -71 39 21.63466 , -    6.03 , +    8.31 ,    2.0 ,  7.31  
831,  6 15 34.265255 ,  - 0 30 43.88411 , -  157.75 , -  218.60 ,   28.0 ,  5.62  
832,  6 15 47.013763 ,  + 4 17  1.09157 , -    3.95 , -    3.98 ,    2.4 ,  6.63  
833,  6 16 13.867309 ,  + 5  6 50.96750 , -    4.16 , -    5.68 ,    2.7 ,  7.16  
834,  6 17 54.820688 ,  +61 30 55.03132 , -    9.23 , -    2.36 ,    5.5 ,  5.01  
835,  6 18 14.105219 ,  -72  7 55.95719 , -    1.44 , +   26.89 ,    4.6 ,  7.76  
836,  6 18 16.083818 ,  -48 41 56.25908 , +    3.31 , +    7.74 ,    2.8 ,  8.50  
837,  6 18 33.563213 ,  - 7 50 26.16892 , -    5.88 , +    2.85 ,    3.5 ,  8.56  
838,  6 18 53.863575 ,  +35 12 28.60637 , +    4.52 , -   38.32 ,    6.0 ,  6.62  
839,  6 19 14.117325 ,  +29 55 32.08931 , +    5.49 , -    4.50 ,    5.4 ,  8.84  
840,  6 20  6.135204 ,  -48 44 27.93307 , +  234.50 , -  267.07 ,   38.9 ,  6.61  
841,  6 21 35.674036 ,  +19 53 31.39354 , +    0.79 , -    4.06 ,     .4 ,  7.29  
842,  6 21 47.042228 ,  + 2 20 32.79138 , +    0.55 , -    7.18 ,    2.6 ,  7.29  
843,  6 22  1.301647 ,  +44  3 30.65495 , +    5.83 , -   21.71 ,    8.8 ,  6.88  
844,  6 22 49.621429 ,  - 0 49 59.13729 , -    2.41 , -    2.03 ,    5.0 ,  7.63  
845,  6 23 53.624044 ,  - 4 43 43.87610 , -    0.18 , -   11.70 ,    2.5 ,  7.30  
846,  6 23 55.916143 ,  -25 34 39.46349 , +    3.53 , -   40.66 ,    4.6 ,  5.61  
847,  6 24  3.639620 ,  -39 42 10.06856 , +    1.75 , -    0.38 ,    2.5 ,  8.00  
848,  6 24 26.818010 ,  +66 30 47.90309 , -   30.57 , -   89.49 ,   12.7 ,  8.23  
849,  6 24 38.967973 ,  +35 15 18.11595 , +   14.43 , -   28.56 ,    5.4 ,  6.56  
850,  6 24 44.496603 ,  -40 17  2.32397 , -    2.81 , -    3.48 ,    6.2 ,  6.30  
851,  6 25  5.714213 ,  +16 59 40.89663 , -    4.49 , -    2.78 ,    3.3 ,  7.01  
852,  6 25 27.396172 ,  -16 23 28.18349 , -    1.17 , +    7.31 ,    2.7 ,  8.47  
853,  6 25 28.629595 ,  -69 41 25.07906 , -   12.75 , +  200.35 ,   12.2 ,  5.37  
854,  6 25 40.475934 ,  -29 42 10.71668 , -    3.85 , -    1.77 ,    2.5 ,  6.89  
855,  6 25 42.728680 ,  +21 38 42.08460 , -    6.60 , -   12.92 ,    9.0 ,  6.53  
856,  6 26 20.031188 ,  +60  3 41.69243 , +    0.85 , -   12.39 ,    1.9 ,  9.17  
857,  6 26 39.585887 ,  - 1 30 26.39692 , -    8.83 , -   27.98 ,   14.2 ,  5.87  
858,  6 28 28.052662 ,  +16 14 18.19508 , -   92.65 , -   48.14 ,   15.4 ,  6.24  
859,  6 29   .743314 ,  -80 32 19.44920 , +    2.64 , +   21.84 ,    4.7 ,  8.91  
860,  6 29  5.472541 ,  +76 59 46.16333 , +    4.38 , -   45.65 ,    9.7 ,  8.60  
861,  6 29 28.498919 ,  -56 51  9.95895 , -   38.25 , +   32.14 ,   10.4 ,  5.20  
862,  6 29 58.378279 ,  +13 36 54.94584 , -    0.46 , -    1.75 ,    2.3 ,  8.29  
863,  6 30  2.973728 ,  +46 41  7.99059 , -    7.49 , +    7.11 ,    6.1 ,  5.88  
864,  6 30  3.011226 ,  -65 34  5.67506 , +    1.35 , +   59.52 ,   10.2 ,  6.28  
865,  6 30 46.288238 ,  -27 46 10.46518 , -    7.60 , +    6.35 ,    2.8 ,  5.92  
866,  6 31 34.948385 ,  -36 56 24.09321 , +    1.69 , +   70.14 ,    3.5 ,  6.26  
867,  6 33  1.988197 ,  -73 45  4.55988 , -    5.09 , +    4.70 ,    6.0 ,  7.93  
868,  6 34  2.501248 ,  -77 41 15.73662 , -   12.25 , -   60.44 ,   19.3 ,  6.66  
869,  6 34 35.331209 ,  -32 42 58.51541 , +    3.22 , +    2.82 ,    6.7 ,  5.62  
870,  6 34 39.309928 ,  +19 25 44.54532 , +    4.34 , -    9.89 ,    5.6 ,  7.07  
871,  6 34 45.814692 ,  -20 33 26.79463 , -   12.32 , +    3.27 ,    6.0 ,  7.02  
872,  6 34 58.378699 ,  + 0 30 14.71678 , -    2.01 , -    2.24 ,    1.3 ,  8.10  
873,  6 34 58.580181 ,  -52 58 32.18768 , -    7.40 , +   11.05 ,    1.8 ,  4.35  
874,  6 35  8.843417 ,  +83 45 48.83815 , +    2.58 , -   25.14 ,    2.7 ,  9.16  
875,  6 35 12.061458 ,  +28  1 20.31940 , -    0.54 , -   13.60 ,    7.3 ,  5.26  
876,  6 35 17.596731 ,  + 9 59 18.00973 , +    0.41 , -    7.39 ,    2.0 ,  5.93  
877,  6 35 48.837063 ,  +54 35 22.20323 , -    3.31 , +    1.69 ,    3.9 ,  8.38  
878,  6 35 50.217510 ,  +49 52 57.11816 , -   13.40 , -    8.39 ,    8.5 ,  8.24  
879,  6 36 35.331642 ,  - 5 12 40.12138 , +    2.33 , -   15.06 ,    3.9 ,  5.52  
880,  6 36 41.037352 ,  -19 15 21.16368 , +   62.20 , -   69.74 ,   50.4 ,  3.95  
881,  6 36 57.342726 ,  +69 21 28.59629 , -    8.54 , -    2.33 ,    2.8 ,  8.29  
882,  6 37 40.326755 ,  + 2 42 14.97389 , -   38.68 , -   49.06 ,    6.8 ,  6.17  
883,  6 38 11.089237 ,  +72 51  3.24085 , +    1.20 , -   27.83 ,    7.1 ,  8.73  
884,  6 38 47.925765 ,  + 6 54  6.78303 , -    2.62 , +    0.38 ,     .7 ,  6.94  
885,  6 39  3.586364 ,  -18 11  8.97896 , +    1.96 , +    0.37 ,    3.1 ,  7.13  
886,  6 39  5.300653 ,  +22  1 51.16721 , +   14.11 , -   24.75 ,    7.7 ,  6.09  
887,  6 39 16.719136 ,  -14  8 44.74898 , +    4.54 , -    6.94 ,    2.0 ,  4.82  
888,  6 39 26.770338 ,  -43 25 38.24699 , +    3.13 , -    7.23 ,    3.0 ,  7.18  
