 FK6  ,        Name        ,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
4621,                    ,  6 49 28.639538 ,  - 0 12 34.76466 , -    1.82 , -    1.10 ,    3.8 ,  9.02  
2525,                    ,  6 49 41.312469 ,  +32 36 24.32496 , -   37.59 , -   50.25 ,   10.6 ,  5.72  
2529,                    ,  6 49 54.616593 ,  -46 36 52.41915 , -    0.51 , +  374.06 ,   39.6 ,  5.14  
4622,                    ,  6 49 55.521142 ,  - 5 30 47.50339 , -    2.06 , +    1.93 ,     .9 ,  7.55  
2531,                    ,  6 50  2.510843 ,  -66 17 36.29350 , -    8.67 , +   30.03 ,    3.1 ,  6.99  
4624,                    ,  6 50  3.344673 ,  -42  8 43.37358 , -    5.90 , -    1.53 ,    5.0 ,  8.36  
2528,                    ,  6 50  5.969612 ,  -27 20  2.28394 , -    1.27 , +    4.05 ,    1.2 ,  7.05  
2523, 42 Cam             ,  6 50 57.089509 ,  +67 34 18.96377 , +    0.90 , +    4.66 ,    3.7 ,  5.14  
4625,                    ,  6 51  5.702609 ,  -34 16 35.77425 , -    3.51 , +   10.71 ,    1.8 ,  7.91  
4626,                    ,  6 51  7.089451 ,  -47 19 33.77188 , -   12.19 , +   42.26 ,    5.6 ,  7.30  
3949,                    ,  6 51 47.278469 ,  +86 41  3.63457 , +    0.10 , -  104.55 ,    7.5 ,  6.59  
4627,                    ,  6 51 58.198517 ,  +25 39 46.80134 , -   12.54 , +    8.61 ,    7.1 ,  6.75  
2532, 15 CMa             ,  6 53 32.907191 ,  -20 13 27.31453 , -    5.41 , +    3.96 ,    1.3 ,  4.82  
2534,                    ,  6 54 26.683510 ,  -42 21 56.05579 , -    1.49 , +   19.84 ,    2.3 ,  6.32  
4628,                    ,  6 55 42.503528 ,  -80 50 16.74969 , +   38.33 , +   26.66 ,    4.6 ,  7.75  
4629,                    ,  6 55 56.196345 ,  +27 17  9.10696 , -    7.17 , -    6.76 ,    2.3 ,  7.21  
2536, iota CMa           ,  6 56  8.224644 ,  -17  3 15.26701 , -    2.76 , +    2.44 ,    1.0 ,  4.36  
2545, theta Men          ,  6 56 34.475265 ,  -79 25 12.69572 , -    1.60 , -    1.70 ,    9.1 ,  5.45  
4630,                    ,  6 57 11.608241 ,  -55 54 54.33555 , -    1.27 , -    1.18 ,    1.8 ,  8.59  
2537, 16 Lyn             ,  6 57 37.107227 ,  +45  5 38.73667 , -   21.47 , -    3.51 ,   14.4 ,  4.90  
2538, 62 Aur             ,  6 59  2.847050 ,  +38  3  8.34729 , -   41.88 , -  122.07 ,    5.4 ,  6.02  
4631,                    ,  6 59 22.846179 ,  +20 26 41.58326 , -   17.91 , -    9.42 ,    3.7 ,  8.09  
4632,                    ,  6 59 29.831205 ,  +33 33 18.53384 , -    4.95 , +    1.14 ,    1.4 ,  8.72  
2539,                    ,  6 59 44.435166 ,  +52 34 20.74683 , -   11.14 , -   17.99 ,    2.7 ,  6.66  
2546,                    ,  7  1  5.113379 ,  -58 56 23.77283 , -   56.98 , +  147.88 ,   18.6 ,  6.01  
2542,                    ,  7  1 56.931393 ,  +63 40 36.93322 , -    3.33 , -   18.17 ,    3.1 ,  6.61  
4633,                    ,  7  1 57.131037 ,  -17 38 39.58011 , -    2.52 , -   20.49 ,    4.7 ,  7.28  
4634,                    ,  7  2 17.050067 ,  +51 34  4.97415 , -   29.29 , -   62.11 ,    5.8 ,  7.51  
2547, 19 Mon             ,  7  2 54.777514 ,  - 4 14 21.23288 , -    3.32 , +    2.77 ,    1.8 ,  4.99  
4635,                    ,  7  3 16.508666 ,  +46  7 12.57199 , -   14.97 , -   30.52 ,    1.8 ,  9.00  
4636,                    ,  7  3 47.512301 ,  - 1  5 58.72611 , -    0.99 , -    4.17 ,    2.4 ,  8.89  
4637,                    ,  7  3 52.306449 ,  + 5 51 39.26632 , +    0.48 , -    5.72 ,    2.5 ,  8.36  
4638,                    ,  7  5 33.197100 ,  -14 52 19.39019 , +   14.88 , -    8.66 ,    4.2 ,  7.68  
4640,                    ,  7  5 56.797745 ,  +39 51 43.94290 , +    3.49 , -   12.34 ,    4.0 ,  8.95  
4641,                    ,  7  6  1.235251 ,  +59 48  6.66350 , +   21.36 , -    2.56 ,    9.3 ,  6.40  
4642,                    ,  7  6 47.428186 ,  -67  0 58.42593 , +    2.67 , -   25.36 ,    4.3 ,  7.30  
4643,                    ,  7  7  5.612244 ,  + 9 52 45.49442 , +   20.99 , -   20.79 ,    7.1 ,  7.89  
4644,                    ,  7  7 42.673562 ,  -76  2 57.16908 , +    3.78 , -   21.36 ,    2.5 ,  7.67  
2548,                    ,  7  8  6.309319 ,  +44  2 23.94141 , +    6.63 , -    5.20 ,    5.5 ,  6.84  
2549,                    ,  7  8 13.272563 ,  +33 49 56.59511 , -    7.73 , -   28.42 ,    3.8 ,  6.31  
2551,                    ,  7  8 51.068101 ,  -39 39 20.36279 , -   10.90 , +    7.16 ,    4.3 ,  4.83  
4645,                    ,  7  9 18.951049 ,  +30  8 51.66624 , +    7.01 , -   26.23 ,    5.4 ,  7.28  
4646,                    ,  7  9 30.522389 ,  -79 25 55.12472 , -    3.69 , +   16.14 ,    2.6 ,  7.81  
4648,                    ,  7 10  4.340193 ,  +12 32 53.13952 , +    5.15 , -    9.45 ,    3.1 ,  9.16  
2554,                    ,  7 10 47.483272 ,  -48 55 55.55496 , -   17.42 , +  196.85 ,   10.4 ,  5.12  
