 FK6  ,        Name        ,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
3092,                    , 13 47 27.638542 ,  -50 14 57.44585 , +   58.87 , +   12.69 ,   16.6 ,  5.92  
3095,                    , 13 48  5.109179 ,  +42  2 50.88861 , +   22.43 , -   56.59 ,    5.9 ,  6.59  
5218,                    , 13 48 11.186279 ,  -68  8 45.95242 , -    8.73 , -   11.43 ,    5.0 ,  7.61  
3096,                    , 13 48 38.735289 ,  +31 11 24.74424 , -    5.40 , +   37.92 ,   10.4 ,  5.61  
3105,                    , 13 50  1.385484 ,  +78 59 44.48071 , -   54.72 , +    1.71 ,    5.7 ,  6.59  
3097,                    , 13 50  6.507853 ,  -29  4 52.74861 , -   50.93 , -   32.40 ,    9.0 ,  6.19  
5222,                    , 13 50 19.932823 ,  -48 16 26.33267 , -    9.79 , -   11.26 ,    4.7 ,  8.08  
5223,                    , 13 50 23.841527 ,  +26 17 17.98979 , -   15.94 , -   28.27 ,    3.4 ,  8.85  
3103,                    , 13 50 59.119759 ,  +68 18 55.08227 , -  176.22 , -   58.03 ,   10.5 ,  6.39  
5224,                    , 13 51 47.096997 ,  +39 40  9.91664 , +    4.52 , -   19.14 ,    1.3 ,  7.40  
3099,                    , 13 51 47.430807 ,  -69 24  4.52531 , +    4.34 , -    4.26 ,    4.0 ,  5.73  
3102,                    , 13 51 47.475496 ,  +34 26 39.26496 , -   19.86 , -   31.87 ,    5.4 ,  4.76  
3104,                    , 13 52 18.406160 ,  +12  9 54.49127 , +   27.19 , -    9.25 ,   10.0 ,  6.10  
5225,                    , 13 52 54.163693 ,  - 6 29 18.78820 , -    7.86 , +   19.73 ,    4.7 ,  8.83  
3106,                    , 13 53 10.281821 ,  +28 38 53.27379 , -  122.07 , +   28.59 ,   15.4 ,  5.91  
3107, 90 Vir             , 13 54 42.145877 ,  - 1 30 11.24188 , -   86.62 , -   21.16 ,   12.8 ,  5.16  
5226,                    , 13 55 27.692501 ,  +69 56  6.43522 , +    8.31 , +    2.96 ,    4.1 ,  7.31  
3986,                    , 13 55 38.874198 ,  -82 39 58.28555 , -   25.12 , -   23.36 ,    3.7 ,  5.95  
3108,                    , 13 55 47.955543 ,  - 9 33 35.67996 , -   21.03 , -    7.65 ,    3.1 ,  6.69  
5227,                    , 13 55 49.923818 ,  +78 41 41.74473 , -   14.72 , +   18.46 ,    2.8 ,  8.20  
3109,                    , 13 55 49.993902 ,  +14  3 23.40551 , -  290.44 , +    8.60 ,   41.2 ,  6.16  
5228,                    , 13 56  4.772881 ,  +28 40 21.17685 , -   15.16 , +    9.98 ,    7.6 ,  6.99  
5229,                    , 13 56 54.988826 ,  +44 16 57.11680 , -   25.17 , +    8.48 ,   22.4 ,  7.65  
5230,                    , 13 56 59.314955 ,  -23  6 13.02586 , -    4.69 , -   22.03 ,    5.3 ,  7.60  
5231,                    , 13 57  3.883589 ,  +62 47 32.33052 , -   71.24 , +   29.61 ,    8.2 ,  7.30  
5232,                    , 13 57  6.315296 ,  +20 57 14.07989 , +   25.17 , -   17.79 ,    2.5 ,  6.68  
5233,                    , 13 57 12.133022 ,  +10 18 24.93874 , +    0.68 , +   14.15 ,    7.3 ,  8.92  
5234,                    , 13 57 44.618911 ,  -10 55 28.55058 , -    2.72 , -   10.16 ,    2.6 ,  8.70  
5235,                    , 13 58  7.352414 ,  + 2 47   .59858 , +    0.41 , -    7.78 ,    4.8 ,  7.62  
3112, upsilon^1 Cen      , 13 58 40.748780 ,  -44 48 12.90446 , -   27.46 , -   21.87 ,    7.8 ,  3.87  
5236,                    , 13 58 41.830733 ,  -34 57 15.93331 , -   21.97 , +    4.68 ,    2.4 ,  8.59  
5237,                    , 13 59  3.675335 ,  -18 37 22.47777 , +   44.62 , +    9.76 ,    5.7 ,  7.07  
5238,                    , 13 59 28.317522 ,  -43 42 10.96657 , -   40.84 , -   10.07 ,    3.6 ,  7.94  
5239,                    , 13 59 41.520402 ,  +42  2 59.30344 , +    4.94 , +   28.65 ,   10.4 ,  7.80  
5240,                    , 13 59 44.743299 ,  + 0  2 56.67869 , +   28.39 , -   29.02 ,    6.0 ,  7.91  
5241,                    , 14  0 28.200415 ,  -14 57  7.75904 , -   60.55 , -   35.38 ,    4.2 ,  8.08  
3111,                    , 14  0 32.811833 ,  -78 35 23.93302 , -   14.27 , -    9.08 ,    4.4 ,  6.09  
5242,                    , 14  0 37.591339 ,  -64 47 40.16108 , -    2.24 , -    2.06 ,     .6 ,  9.09  
5243,                    , 14  0 40.551926 ,  - 2  4 58.23100 , -   37.70 , +    4.59 ,    6.6 ,  8.46  
5244,                    , 14  1 16.530352 ,  +50  8 20.47189 , -   41.75 , -    4.12 ,    2.6 ,  8.47  
3114,                    , 14  1 20.429297 ,  + 8 53 41.66127 , +   33.06 , -    1.37 ,   11.3 ,  5.98  
5245,                    , 14  1 22.318689 ,  +31 33 48.94870 , -   12.38 , -   39.11 ,    5.4 ,  6.87  
3115,                    , 14  2 12.189623 ,  +45 45 12.44650 , +   29.46 , -   78.20 ,    5.9 ,  6.28  
5246,                    , 14  2 16.947994 ,  -87 36 55.32069 , +    5.24 , -    3.45 ,    2.4 ,  8.50  
5247,                    , 14  2 20.422804 ,  +36  6 42.68649 , -   23.76 , -   86.04 ,   11.7 ,  7.23  
3116,                    , 14  3  4.069123 ,  -17 22  1.25301 , -  184.54 , -   10.39 ,    6.7 ,  6.32  
3118,                    , 14  3 55.756096 ,  + 4 54  3.50450 , -   10.72 , -    2.64 ,   15.9 ,  6.24  
5248,                    , 14  4 30.383085 ,  +21 23 17.36608 , -    6.71 , +    2.92 ,    3.4 ,  8.53  
5249,                    , 14  4 41.591257 ,  + 6 59 54.22605 , -   27.93 , +    5.54 ,    8.3 ,  7.89  
3119,                    , 14  5 46.477482 ,  -54 40  9.70432 , -   52.81 , -   24.96 ,    7.6 ,  6.20  
5250,                    , 14  6 33.333302 ,  +17 54 43.23895 , -   56.05 , -   10.93 ,    3.2 ,  7.70  
5251,                    , 14  6 47.324383 ,  -62 22 27.40141 , -   12.34 , -    7.37 ,    1.9 ,  7.26  
3125, 3 UMi              , 14  6 56.364663 ,  +74 35 37.61528 , -   53.61 , +   13.01 ,    7.4 ,  6.43  
5252,                    , 14  7  8.037473 ,  -35 29 30.83566 , -   19.20 , -    2.57 ,    4.8 ,  7.18  
5253,                    , 14  7 25.485107 ,  +12 35 38.85909 , +  147.98 , -   58.16 ,   12.1 ,  9.17  
5254,                    , 14  8  4.359139 ,  -80 45 50.47102 , -   22.45 , +    1.31 ,    8.4 ,  7.60  
3121,                    , 14  8 14.298128 ,  -63 12 28.62057 , +   19.39 , +   35.33 ,    8.4 ,  6.39  
3124, 13 Boo             , 14  8 17.302509 ,  +49 27 29.39855 , -   59.65 , +   59.92 ,    5.8 ,  5.26  
3120,                    , 14  8 27.165954 ,  -74 51  1.02727 , -  242.41 , +  180.24 ,   34.8 ,  6.02  
3126,                    , 14  8 46.046373 ,  +59 20 15.53655 , -  123.21 , -   20.65 ,    7.4 ,  6.47  
3128,                    , 14 12  4.009775 ,  +69 25 57.17368 , -   26.34 , -   49.57 ,    7.3 ,  5.18  
5256,                    , 14 14 10.065266 ,  -48 34 38.90157 , -   18.15 , -    6.94 ,    3.4 ,  7.76  
5257,                    , 14 14 21.289886 ,  +83 56 40.35421 , +    0.98 , +   10.02 ,    2.9 ,  8.38  
3130,                    , 14 14 40.963142 ,  +21 52 24.21272 , +   41.36 , -    7.18 ,   16.9 ,  6.38  
5258,                    , 14 14 53.019140 ,  + 3 20  9.15816 , -   49.32 , -   24.99 ,    4.0 ,  6.41  
5259,                    , 14 15  6.351469 ,  +73 20  1.22202 , +    3.99 , +    4.62 ,    3.1 ,  8.78  
5260,                    , 14 15 50.230922 ,  -16  4 52.92978 , -   32.00 , +    6.78 ,    3.6 ,  7.98  
3132,                    , 14 16 18.336348 ,  -33 14 28.76082 , +   22.44 , +    3.22 ,   13.4 ,  6.57  
5262,                    , 14 17 27.669269 ,  -19 57 49.58165 , -   84.93 , -   26.57 ,   12.4 ,  6.95  
5263,                    , 14 17 36.873084 ,  +11 20  6.86115 , -   44.27 , -    5.82 ,    2.7 ,  7.60  
5264,                    , 14 17 43.288251 ,  -76  5 17.85830 , +    3.11 , -    5.30 ,    3.0 ,  7.28  
3129, eta Aps            , 14 18 13.895394 ,  -81  0 27.93921 , -   20.13 , -   65.59 ,   23.3 ,  4.89  
5265,                    , 14 18 57.173441 ,  +42  0 17.77203 , +   39.85 , -   70.73 ,    5.3 ,  7.08  
3134, upsilon Vir        , 14 19 32.479863 ,  - 2 15 55.86871 , -  119.17 , -   72.24 ,   11.9 ,  5.14  
3135, 20 Boo             , 14 19 45.235044 ,  +16 18 25.01124 , -  141.13 , +   60.23 ,   17.1 ,  4.84  
3133,                    , 14 19 57.371342 ,  -73 58  6.39462 , -    7.73 , -    0.44 ,    3.3 ,  6.58  
3136,                    , 14 20  8.665364 ,  +30 25 44.86617 , -    9.81 , -    6.12 ,   11.5 ,  6.45  
5267,                    , 14 21 57.216519 ,  +29 37 46.61550 , -  631.38 , -  308.44 ,   69.4 ,  8.56  
5268,                    , 14 22  3.466346 ,  -44 39 31.34716 , -   16.01 , -   23.43 ,    1.7 ,  7.76  
3137,                    , 14 22 19.719005 ,  -34 47 12.45144 , -   26.00 , -    0.22 ,    3.7 ,  5.57  
5270,                    , 14 22 46.388361 ,  - 0 38 13.67250 , -   61.61 , -   13.09 ,    7.5 ,  6.74  
5271,                    , 14 22 58.128551 ,  +76 39 49.22422 , +   14.93 , -    1.18 ,    2.3 ,  8.66  
5272,                    , 14 22 59.064648 ,  +24  6 24.10729 , +    7.50 , -    1.03 ,    5.8 ,  8.53  
3139,                    , 14 23  6.821957 ,  +25 20 17.42342 , -  156.59 , +   63.85 ,   28.0 ,  6.22  
3140,                    , 14 23 57.704643 ,  -16  6  6.89177 , -   29.82 , -    6.40 ,    4.9 ,  6.69  
3142,                    , 14 25 29.152308 ,  +38 23 34.99234 , +    6.01 , -   19.20 ,    5.2 ,  6.28  
5274,                    , 14 25 51.280569 ,  -56 55 22.24521 , -    2.73 , +    0.38 ,    1.1 ,  7.89  
5275,                    , 14 26 32.570049 ,  +52 37 30.77999 , -   20.56 , -   18.48 ,     .5 ,  8.13  
5276,                    , 14 26 38.575033 ,  -26 51 26.09963 , +    1.42 , -    0.67 ,    2.4 ,  8.19  
3141,                    , 14 27  7.087012 ,  -65 49 17.92665 , -   18.39 , -   14.27 ,    3.5 ,  5.87  
5277,                    , 14 27 30.205311 ,  +14 45 15.34544 , -   12.73 , +    6.89 ,     .4 ,  7.28  
5278,                    , 14 27 31.449895 ,  -35 26 50.04473 , +   33.64 , -   54.74 ,   10.7 ,  6.89  
5279,                    , 14 28  4.732948 ,  - 3  0 14.17287 , -    6.51 , +    1.42 ,    3.6 ,  7.77  
5280,                    , 14 28 10.098476 ,  - 8 45 25.04763 , -    6.41 , +    0.01 ,    3.1 ,  9.23  
3144,                    , 14 28 16.440030 ,  +36 11 49.29712 , -   21.85 , +    3.36 ,    3.4 ,  6.22  
3143, 106 Vir            , 14 28 41.721354 ,  - 6 54  1.94223 , -   15.85 , -   51.66 ,    6.8 ,  5.42  
5281,                    , 14 28 55.549481 ,  +47  9  2.04682 , -   47.99 , +   34.39 ,    7.1 ,  8.15  
5282,                    , 14 29 23.366197 ,  -50  6 30.98779 , -    8.16 , +   20.95 ,    4.4 ,  7.29  
3146,                    , 14 29 36.808727 ,  +41 47 45.28005 , +  161.27 , -  220.90 ,   42.4 ,  6.36  
3145,                    , 14 29 50.517964 ,  + 0 49 44.14442 , +   14.40 , +    7.26 ,   13.1 ,  5.96  
3150,                    , 14 30 46.070550 ,  +63 11  8.82688 , -  177.15 , +    8.83 ,   31.5 ,  6.10  
3148,                    , 14 31 10.840244 ,  -38 52 10.95384 , +    5.63 , +   27.82 ,    9.4 ,  5.99  
5283,                    , 14 31 46.948053 ,  -13 11 30.29450 , -   21.20 , +   16.37 ,    4.4 ,  8.17  
5284,                    , 14 32 11.947718 ,  -10 56  7.03658 , -    5.95 , +   13.26 ,    2.9 ,  8.37  
5285,                    , 14 32 21.784947 ,  -17 52 52.35053 , -   25.86 , -    2.01 ,    4.8 ,  8.49  
3151, 26 Boo             , 14 32 32.542333 ,  +22 15 36.20869 , -  126.33 , +   40.02 ,   19.4 ,  5.91  
5286,                    , 14 33  3.019722 ,  + 5 19 23.74861 , +    8.37 , -   81.86 ,    5.4 ,  6.85  
3159,                    , 14 33 38.295391 ,  +79 39 37.53407 , -   99.51 , +   83.54 ,    7.0 ,  6.27  
5288,                    , 14 33 40.660483 ,  -40 43 41.56738 , -    5.52 , -    3.89 ,    2.3 ,  9.48  
5289,                    , 14 33 42.551403 ,  -36 16  9.85833 , -   26.52 , -   18.76 ,    2.4 ,  9.18  
5291,                    , 14 34  6.411922 ,  +10 31 20.89863 , +   17.12 , +    5.39 ,    8.2 ,  8.02  
3154,                    , 14 34 15.934455 ,  +57  3 54.93139 , +  217.79 , -  232.34 ,   34.4 ,  6.46  
3155,                    , 14 34 39.620443 ,  +49 22  6.08071 , -   45.94 , +   51.05 ,    4.1 ,  5.74  
5293,                    , 14 34 50.729222 ,  -20 26 21.77423 , +   16.90 , -    1.70 ,    5.3 ,  6.49  
5294,                    , 14 34 51.673827 ,  +16 25 19.32023 , +    9.92 , -   16.91 ,    2.4 ,  9.35  
3985,                    , 14 35 29.814792 ,  -89 46 18.17862 , -    6.72 , -    8.35 ,    2.0 ,  6.82  
3152,                    , 14 35 29.451677 ,  -73 41 39.51338 , -   19.98 , -   17.22 ,     .9 ,  6.96  
5295,                    , 14 36  5.065639 ,  +61 13 44.99241 , +    3.30 , -   15.38 ,    5.0 ,  9.21  
3157,                    , 14 36  6.872471 ,  +23 15  1.29537 , -    9.83 , +   27.43 ,    8.6 ,  6.39  
3158, rho Lup            , 14 37 53.226204 ,  -49 25 32.97827 , -   27.78 , -   28.65 ,   10.5 ,  4.05  
3160,                    , 14 38 13.987382 ,  +18 17 54.16455 , -   29.01 , -   64.67 ,    8.8 ,  5.90  
3161,                    , 14 38 15.222348 ,  +54  1 24.02564 , +   17.35 , -   18.63 ,    7.6 ,  5.83  
5296,                    , 14 38 27.549119 ,  +19 51 22.32923 , -   47.62 , +    8.53 ,   16.1 ,  8.07  
5297,                    , 14 38 48.556102 ,  -43  0  3.15954 , -   27.72 , -   16.53 ,    4.8 ,  7.61  
5298,                    , 14 38 55.834969 ,  +79 47 14.67462 , +    0.49 , -    0.12 ,    2.7 ,  7.29  
5300,                    , 14 39 22.011234 ,  -25  1 43.01980 , +   26.08 , -   25.04 ,    4.9 ,  7.18  
5301,                    , 14 39 36.664406 ,  -46 17 57.97461 , +    6.29 , -   11.79 ,    3.6 ,  8.08  
5302,                    , 14 39 39.026972 ,  -63 32 43.52618 , +   12.56 , +   12.88 ,    2.3 ,  7.61  
5303,                    , 14 40 18.316621 ,  +87 12 53.17062 , -   10.70 , +   21.12 ,    3.0 ,  6.91  
3162,                    , 14 40 32.759696 ,  -56 26 26.74279 , -   12.72 , -    8.87 ,    3.2 ,  6.30  
5304,                    , 14 40 43.095207 ,  +34 16 47.08304 , -   29.98 , -    1.77 ,    3.0 ,  8.83  
3163, 31 Boo             , 14 41 38.750476 ,  + 8  9 42.34984 , -   10.26 , +    3.18 ,    5.6 ,  4.86  
5305,                    , 14 41 45.826629 ,  +24 32 17.90895 , -   58.98 , -   19.07 ,   16.9 ,  7.66  
3164,                    , 14 42 13.115930 ,  -32 46 13.13055 , -  130.60 , -  129.40 ,   15.8 ,  6.63  
3165,                    , 14 42 45.065010 ,  -19 18 42.11354 , -   62.87 , +   18.35 ,    6.5 ,  6.87  
3166,                    , 14 43 44.434262 ,  +40 27 33.31417 , -   13.43 , +   20.80 ,    4.1 ,  5.72  
5306,                    , 14 44 13.676005 ,  - 8 15  6.93559 , -  202.70 , +   74.36 ,   24.1 ,  6.64  
5307,                    , 14 45 51.111359 ,  +71 57 58.15283 , -   30.22 , +   22.60 ,    4.7 ,  7.52  
3168,                    , 14 46  5.945965 ,  +15  7 54.43267 , -   84.93 , +   18.86 ,    3.5 ,  5.78  
3167,                    , 14 46  6.768026 ,  -23  9 10.84953 , +   24.70 , -   62.42 ,    8.9 ,  5.80  
5309,                    , 14 47 24.260560 ,  +17 45 26.11191 , -  101.34 , +   29.22 ,   12.4 ,  8.41  
5310,                    , 14 47 32.727522 ,  - 0 16 53.31299 , -  128.57 , -  140.74 ,   33.6 ,  8.04  
5311,                    , 14 48  6.474818 ,  + 4 57  1.01900 , -   19.66 , +   22.19 ,    2.7 ,  9.10  
5312,                    , 14 48 29.322106 ,  + 3 17 44.64312 , -   48.30 , -   15.20 ,    7.1 ,  8.39  
5313,                    , 14 48 42.546536 ,  -70 35 56.29838 , -    6.64 , -    5.58 ,    1.6 ,  7.37  
3169,                    , 14 48 54.094613 ,  - 0 50 51.55901 , -    8.44 , +   16.69 ,    9.2 ,  6.15  
5314,                    , 14 49  1.736462 ,  -35 33  1.07034 , +   22.33 , -   33.50 ,    6.8 ,  7.63  
5315,                    , 14 49 21.408710 ,  - 5 47 28.63752 , -   19.45 , -    4.29 ,    1.9 ,  7.92  
3170,                    , 14 49 26.154865 ,  +10  2 38.96631 , -   55.39 , -   84.59 ,    6.3 ,  6.64  
5316,                    , 14 49 35.162001 ,  +46 34 28.20083 , +   96.16 , -  158.94 ,   13.3 ,  7.53  
3171,                    , 14 49 58.398555 ,  +28 36 56.99646 , +   18.30 , -    0.45 ,   11.0 ,  5.80  
3172,                    , 14 50 15.810834 ,  +23 54 42.64413 , +  144.20 , +   33.00 ,   55.7 ,  5.86  
5317,                    , 14 50 43.978882 ,  -55  0 33.30859 , +    4.98 , +    1.26 ,    2.1 ,  7.12  
5318,                    , 14 52 43.763867 ,  +31 55 30.07806 , -    7.13 , -   13.22 ,    6.3 ,  6.89  
3173,                    , 14 52 51.073948 ,  -37 48 11.37862 , -   20.20 , -   18.22 ,    8.4 ,  5.02  
5319,                    , 14 53 18.168425 ,  -21 36 16.61068 , -    1.31 , +   14.28 ,    4.6 ,  8.60  
5320,                    , 14 53 38.356975 ,  +24 49 47.63234 , -   84.84 , +   30.74 ,    6.4 ,  9.00  
5321,                    , 14 53 45.235322 ,  +42 58 55.01827 , -   33.47 , +   11.40 ,     .9 ,  8.69  
3174,                    , 14 55 34.560634 ,  -60  6 51.00031 , -  125.56 , -  113.33 ,   18.8 ,  5.18  
5322,                    , 14 55 44.251093 ,  +37 58 27.08232 , +    6.48 , +    0.68 ,    5.0 ,  8.71  
3176,                    , 14 56 17.251491 ,  -52 48 34.37073 , +   27.41 , +    8.09 ,   15.0 ,  5.38  
3179,                    , 14 56 23.040845 ,  +49 37 42.41668 , +  111.59 , -  226.40 ,   40.2 ,  5.63  
5323,                    , 14 56 39.335053 ,  +84  1 37.63725 , +   14.01 , -    3.23 ,    3.7 ,  8.22  
5324,                    , 14 56 57.455655 ,  -26 17  6.08738 , -   18.88 , -   25.26 ,    8.2 ,  6.91  
3177, 16 Lib             , 14 57 10.999675 ,  - 4 20 47.25818 , -   97.65 , -  153.98 ,   35.8 ,  4.47  
3175,                    , 14 57 52.983760 ,  -76 39 45.55848 , -   68.67 , -   16.01 ,    7.6 ,  5.37  
5325,                    , 14 58 16.174006 ,  +14  2 15.39822 , -   31.60 , +    9.68 ,    5.1 ,  6.77  
5327,                    , 14 58 45.468726 ,  -23 51  2.18498 , -   21.78 , -   22.09 ,    2.8 ,  8.97  
5328,                    , 14 58 53.718891 ,  +10 21 17.43212 , -   13.75 , -   16.85 ,    3.0 ,  8.88  
5329,                    , 14 58 56.686661 ,  -46  2 37.30485 , -   11.38 , -   11.49 ,    2.4 ,  8.47  
5330,                    , 14 59  9.418284 ,  -41  5  3.27280 , -   22.29 , +    0.78 ,    3.5 ,  8.34  
3180,                    , 14 59 13.925145 ,  -37 52 52.44111 , -   18.71 , -   20.93 ,    5.2 ,  6.45  
5331,                    , 14 59 27.996672 ,  +20 22 16.00544 , +   14.76 , -    7.59 ,    4.1 ,  8.56  
5332,                    , 14 59 30.052527 ,  - 3  8 27.37826 , -   23.16 , -   29.08 ,   11.9 ,  8.31  
3182, 40 Boo             , 14 59 36.947039 ,  +39 15 55.19647 , -   31.79 , +   41.42 ,   19.8 ,  5.64  
5333,                    , 15  0 13.352500 ,  -14 43 42.72105 , -   19.50 , -    8.94 ,    6.0 ,  9.04  
5334,                    , 15  0 22.869791 ,  -18 37 38.23245 , +   65.91 , -    8.00 ,    3.1 ,  7.81  
5335,                    , 15  0 40.832446 ,  + 6  1 53.93173 , -   13.71 , -   10.72 ,    2.5 ,  8.48  
5336,                    , 15  0 44.928153 ,  -59 48 42.38707 , +   26.54 , -   40.69 ,   10.2 ,  7.32  
3183,                    , 15  1 19.826206 ,  - 2 45 17.73188 , +   27.87 , -   22.00 ,    5.7 ,  5.52  
3181,                    , 15  1 22.600377 ,  -71 29 26.91959 , -   12.63 , -   20.19 ,    3.7 ,  6.72  
3987, pi^1 Oct           , 15  1 50.798027 ,  -83 13 39.52398 , +   18.95 , +   53.56 ,    8.3 ,  5.65  
3185, omega Boo          , 15  2  6.508503 ,  +25  0 29.29421 , -    5.65 , -   49.03 ,    9.0 ,  4.80  
3187, 9 UMi              , 15  2 33.051823 ,  +16  3 17.87487 , -  214.87 , +   86.79 ,   28.2 ,  7.01  
3190, 110 Vir            , 15  2 54.037678 ,  + 2  5 28.70081 , -   55.41 , +   14.15 ,   17.7 ,  4.39  
5337,                    , 15  2 57.420791 ,  -47 56 31.14493 , -    7.38 , -    9.08 ,    1.9 ,  6.86  
3191,                    , 15  3  6.055074 ,  +35 12 20.86262 , -   39.94 , +    9.17 ,   11.8 ,  5.52  
5338,                    , 15  4 55.896974 ,  -86 28 17.39865 , +   22.30 , +   27.83 ,    4.3 ,  7.69  
5339,                    , 15  5 55.783067 ,  +53 41 53.15757 , +    4.85 , +    7.07 ,    4.0 ,  9.19  
5340,                    , 15  6  4.800530 ,  +28 59 58.34769 , +    0.07 , -    7.78 ,    1.7 ,  9.39  
3193, nu Lib             , 15  6 37.596156 ,  -16 15 24.54090 , -   36.52 , -   22.91 ,    4.2 ,  5.19  
5341,                    , 15  7 24.772869 ,  + 0  1 45.39631 , -    3.80 , +    6.01 ,    2.3 ,  7.85  
3196,                    , 15  7 40.323008 ,  + 5 29 52.94606 , -    1.55 , -   19.92 ,    6.1 ,  6.16  
5342,                    , 15  7 46.499702 ,  + 8 52 47.18704 , -  518.44 , -   57.96 ,   15.4 ,  8.26  
3194,                    , 15  8 12.124462 ,  -40 35  2.14663 , -   28.72 , -   30.27 ,    7.9 ,  5.75  
5344,                    , 15  8 15.129408 ,  +57 39 25.27799 , +   15.06 , -   26.95 ,    2.2 ,  7.72  
3197,                    , 15  8 19.538070 ,  +50  3 17.83974 , -    3.27 , -   20.87 ,    7.7 ,  6.33  
5345,                    , 15  8 53.896878 ,  -59  8 31.72022 , -   10.57 , -   10.55 ,    2.2 ,  6.87  
5346,                    , 15  9  4.669108 ,  -28 21 45.52785 , +   32.42 , -   10.57 ,   10.5 ,  7.67  
5347,                    , 15  9 34.616629 ,  - 5 23 41.80342 , -  172.35 , -   62.82 ,   12.1 ,  7.12  
5348,                    , 15 11 13.512011 ,  -13  3 15.52245 , -   19.83 , -    0.83 ,    3.4 ,  7.36  
5351,                    , 15 11 48.299034 ,  -15 13 53.19926 , +    9.39 , -   13.23 ,    2.9 ,  9.06  
5352,                    , 15 13  8.316504 ,  +65 46 45.69677 , +    1.91 , +   18.71 ,    2.8 ,  8.98  
3201,                    , 15 13 31.871001 ,  +22 59   .21283 , +   50.89 , +   97.36 ,   11.5 ,  6.31  
5353,                    , 15 13 31.881469 ,  +15 55 20.17495 , +    2.72 , +    3.05 ,    2.3 ,  8.73  
3202,                    , 15 13 35.582261 ,  +38 15 52.91925 , -    6.64 , -   47.84 ,    7.4 ,  6.19  
5354,                    , 15 13 59.220842 ,  +43  2 53.09290 , -   72.89 , +   45.23 ,    9.2 ,  6.66  
3204, chi Boo            , 15 14 29.158581 ,  +29  9 51.46272 , -   69.72 , +   28.50 ,   14.4 ,  5.28  
5355,                    , 15 15 38.187487 ,  -72 23 54.75681 , -   12.08 , -    6.17 ,    2.0 ,  8.01  
3206,                    , 15 16 23.011017 ,  -22 23 57.88777 , -   34.30 , +    3.10 ,    6.5 ,  5.52  
3208,                    , 15 17 22.614948 ,  +74  2 42.50723 , -   17.55 , +   33.52 ,   10.4 ,  6.67  
3205, epsilon Cir        , 15 17 38.890897 ,  -63 36 37.67033 , +    2.34 , +    9.30 ,    8.7 ,  4.85  
3207, 2 Lup              , 15 17 49.838480 ,  -30  8 55.22937 , -    9.46 , -    5.13 ,   10.5 ,  4.35  
5359,                    , 15 18 35.336581 ,  - 8 23 50.16168 , -   16.93 , -   12.48 ,    5.3 ,  7.49  
5360,                    , 15 20 41.418047 ,  -25 59 25.39638 , -   32.44 , -  153.88 ,   12.2 ,  7.11  
5361,                    , 15 21  9.390957 ,  - 6 36 45.47481 , +   24.73 , +   16.15 ,    5.1 ,  7.35  
3211, nu^1 Lup           , 15 22  8.270796 ,  -47 55 40.04719 , -  141.60 , -  132.18 ,   29.2 ,  4.99  
3213, 7 Ser              , 15 22 23.237885 ,  +12 34  3.08340 , -    1.85 , -    3.46 ,    7.3 ,  6.29  
3215,                    , 15 22 38.415642 ,  +63 20 29.18374 , -   14.85 , -   92.09 ,    8.5 ,  5.72  
3212,                    , 15 23 51.101721 ,  -57 19 50.32080 , -    1.05 , -    3.73 ,    2.8 ,  6.78  
3214,                    , 15 23 52.238469 ,  -12 22 10.21114 , -   38.68 , -   37.13 ,    5.4 ,  5.72  
3216,                    , 15 24  5.116274 ,  +45 16 15.71251 , -   14.53 , +    2.42 ,    6.7 ,  6.07  
5362,                    , 15 24 16.154669 ,  +24  2 38.11569 , +    4.02 , +   10.23 ,    2.0 ,  8.98  
5364,                    , 15 24 59.068349 ,  +30  3 27.32650 , +   38.23 , -   27.28 ,    7.2 ,  9.27  
5365,                    , 15 25 12.292977 ,  +72 50 50.79906 , -    4.17 , -   13.33 ,    8.7 ,  8.60  
5366,                    , 15 25 52.100428 ,  -18 30 57.35047 , -   20.78 , +    2.76 ,    3.2 ,  7.74  
3218,                    , 15 26 17.384115 ,  +34 20  9.58234 , -  114.28 , +   59.86 ,    6.6 ,  5.46  
5367,                    , 15 26 30.275470 ,  +10  2  9.83085 , -   14.78 , -   13.98 ,    3.9 ,  6.97  
5368,                    , 15 26 43.670995 ,  -47 25 17.56367 , -   13.18 , -   17.31 ,    2.7 ,  8.19  
3959,                    , 15 27 10.489004 ,  +84 49 30.84922 , +   12.93 , -   52.29 ,    5.4 ,  6.87  
3217,                    , 15 27 33.082834 ,  -64 31 53.41092 , -   13.36 , -   18.94 ,    4.8 ,  5.71  
3219,                    , 15 27 38.873476 ,  +25  6  5.84723 , +    5.97 , -   13.55 ,    4.1 ,  6.01  
5369,                    , 15 28 24.304877 ,  + 5 33 17.29050 , +   10.25 , -   14.63 ,    2.0 ,  8.85  
3221, 10 Ser             , 15 28 38.236659 ,  + 1 50 31.49531 , -   85.31 , -   33.14 ,   26.6 ,  5.15  
3222,                    , 15 28 56.822097 ,  +55 11 41.77404 , -    7.72 , +   36.26 ,   10.8 ,  6.45  
3220,                    , 15 29 24.268733 ,  -46 43 57.73239 , -    8.74 , -    5.24 ,    3.6 ,  5.26  
5370,                    , 15 29 53.876598 ,  +80 46 15.81208 , +   16.28 , +    8.71 ,    6.2 ,  6.94  
