ID,Name,Source
557,4384                    ,FK6
558,4385                    ,FK6
559,2309                    ,FK6
560,2308                    ,FK6
561,4386                    ,FK6
562,2314                    ,FK6
563,4387                    ,FK6
564,4388                    ,FK6
565,2304                    ,FK6
566,4389                    ,FK6
567,4391                    ,FK6
568,4392                    ,FK6
569,2310                    ,FK6
570,4394                    ,FK6
571,4395                    ,FK6
572,4396                    ,FK6
573,4398                    ,FK6
574,2316                    ,FK6
575,2315                    ,FK6
576,2320                    ,FK6
577,2322                    ,FK6
578,4399                    ,FK6
579,2312                    ,FK6
580,2319 53 Per             ,FK6
581,2317                    ,FK6
582,4400                    ,FK6
583,2323                    ,FK6
584,4402                    ,FK6
585,4404                    ,FK6
586,4405                    ,FK6
587,2325                    ,FK6
588,2326 upsilon Tau        ,FK6
589,2327                    ,FK6
590,4406                    ,FK6
591,2321                    ,FK6
592,2329                    ,FK6
593,2330 79 Tau             ,FK6
594,2332                    ,FK6
595,2331                    ,FK6
596,4408                    ,FK6
597,4410                    ,FK6
598,2335                    ,FK6
599,2337 47 Eri             ,FK6
600,2340                    ,FK6
601,4411                    ,FK6
602,2336                    ,FK6
603,4414                    ,FK6
604,4415                    ,FK6
605,2339                    ,FK6
606,2350                    ,FK6
607,2344                    ,FK6
608,2345 sigma^2 Tau        ,FK6
609,2343                    ,FK6
610,2347                    ,FK6
611,2348                    ,FK6
612,4420                    ,FK6
613,4421                    ,FK6
614,4422                    ,FK6
615,2351 lambda Pic         ,FK6
616,4423                    ,FK6
617,4424                    ,FK6
618,4426                    ,FK6
619,2352                    ,FK6
620,4427                    ,FK6
621,4428                    ,FK6
622,2354 kappa Dor          ,FK6
623,4429                    ,FK6
624,4430                    ,FK6
625,2356                    ,FK6
626,2346                    ,FK6
627,2355                    ,FK6
628,4431                    ,FK6
629,4432                    ,FK6
630,4433                    ,FK6
631,4434                    ,FK6
632,4435                    ,FK6
633,4436                    ,FK6
634,4437                    ,FK6
635,2360                    ,FK6
636,4438                    ,FK6
637,4439                    ,FK6
638,4440                    ,FK6
639,4441                    ,FK6
640,4442                    ,FK6
641,2359                    ,FK6
642,2363                    ,FK6
643,4443                    ,FK6
644,4444                    ,FK6
645,2361                    ,FK6
646,4446                    ,FK6
647,4447                    ,FK6
648,2362                    ,FK6
649,4448                    ,FK6
650,2365                    ,FK6
651,2372                    ,FK6
652,4449                    ,FK6
653,4450                    ,FK6
654,4451                    ,FK6
655,2369                    ,FK6
656,2371                    ,FK6
657,4452                    ,FK6
658,2373                    ,FK6
659,4453                    ,FK6
660,4454                    ,FK6
661,4455                    ,FK6
662,3948                    ,FK6
663,4456                    ,FK6
664,4457                    ,FK6
665,4458                    ,FK6
666,4460                    ,FK6
667,4461                    ,FK6
668,2376                    ,FK6
669,4462                    ,FK6
670,2377                    ,FK6
671,4463                    ,FK6
672,4464                    ,FK6
673,2380 beta Men           ,FK6
674,4465                    ,FK6
675,4466                    ,FK6
676,2378                    ,FK6
677,2381                    ,FK6
678,2388                    ,FK6
679,4469                    ,FK6
680,2389                    ,FK6
681,4470                    ,FK6
682,4471                    ,FK6
683,2382                    ,FK6
684,2384                    ,FK6
685,4472                    ,FK6
686,4473                    ,FK6
687,2390                    ,FK6
688,2392                    ,FK6
689,4474                    ,FK6
690,2391                    ,FK6
691,3976                    ,FK6
692,4476                    ,FK6
693,4477                    ,FK6
694,2393                    ,FK6
695,2395 18 Ori             ,FK6
696,4479                    ,FK6
697,4481                    ,FK6
698,4482                    ,FK6
699,2398 109 Tau            ,FK6
700,4483                    ,FK6
701,2399 19 Aur             ,FK6
702,2397                    ,FK6
703,4484                    ,FK6
704,4485                    ,FK6
705,4486                    ,FK6
706,4487                    ,FK6
707,4488                    ,FK6
708,4489                    ,FK6
709,2401                    ,FK6
710,4492                    ,FK6
711,2403 kappa Pic          ,FK6
712,4493                    ,FK6
713,4494                    ,FK6
714,4495                    ,FK6
715,2405                    ,FK6
716,4496                    ,FK6
717,2402 16 Cam             ,FK6
718,2406 psi^1 Ori          ,FK6
719,2407                    ,FK6
720,4497                    ,FK6
721,4498                    ,FK6
722,2410 lambda Dor         ,FK6
723,4499                    ,FK6
724,4500                    ,FK6
725,2408                    ,FK6
726,2409                    ,FK6
727,2411                    ,FK6
728,4502                    ,FK6
729,2404                    ,FK6
730,2412                    ,FK6
731,4503                    ,FK6
732,2414 35 Ori             ,FK6
733,4504                    ,FK6
734,2422                    ,FK6
735,2415 121 Tau            ,FK6
736,4505                    ,FK6
737,4506                    ,FK6
738,4507                    ,FK6
739,2417                    ,FK6
740,2416                    ,FK6
741,4508                    ,FK6
742,2420                    ,FK6
743,2421                    ,FK6
744,4510                    ,FK6
745,4512                    ,FK6
746,4513                    ,FK6
747,2423 omega Ori          ,FK6
748,4514                    ,FK6
749,4515                    ,FK6
750,2425                    ,FK6
751,4516                    ,FK6
752,4518                    ,FK6
753,4519                    ,FK6
754,2429                    ,FK6
755,4521                    ,FK6
756,2428                    ,FK6
757,2426                    ,FK6
758,2427 51 Ori             ,FK6
759,4522                    ,FK6
760,4523                    ,FK6
761,4524                    ,FK6
762,4525                    ,FK6
763,2430                    ,FK6
764,4526                    ,FK6
765,4527                    ,FK6
766,4528                    ,FK6
767,4529                    ,FK6
768,4530                    ,FK6
769,2431                    ,FK6
770,2441 lambda Men         ,FK6
771,4532                    ,FK6
772,4533                    ,FK6
773,2439                    ,FK6
774,2451 kappa Men          ,FK6
775,2440 upsilon Aur        ,FK6
776,2442 55 Ori             ,FK6
777,2445                    ,FK6
778,2436                    ,FK6
